month,year,city,state,countKiaHyundaiThefts,countOtherThefts,percentKiaHyundai
Apr,2020,Wichita,KS,6,192,0.030
May,2020,Wichita,KS,11,205,0.051
Jun,2020,Wichita,KS,9,250,0.035
Jul,2020,Wichita,KS,9,239,0.036
Aug,2020,Wichita,KS,21,232,0.083
Sep,2020,Wichita,KS,20,281,0.066
Oct,2020,Wichita,KS,14,289,0.046
Nov,2020,Wichita,KS,23,236,0.089
Dec,2020,Wichita,KS,16,287,0.053
Jan,2021,Wichita,KS,18,303,0.056
Feb,2021,Wichita,KS,12,256,0.045
Mar,2021,Wichita,KS,19,244,0.072
Apr,2021,Wichita,KS,7,224,0.030
May,2021,Wichita,KS,5,217,0.023
Jun,2021,Wichita,KS,9,242,0.036
Jul,2021,Wichita,KS,7,252,0.027
Aug,2021,Wichita,KS,6,253,0.023
Sep,2021,Wichita,KS,6,200,0.029
Oct,2021,Wichita,KS,10,247,0.039
Nov,2021,Wichita,KS,8,220,0.035
Dec,2021,Wichita,KS,6,208,0.028
Jan,2022,Wichita,KS,10,247,0.039
Feb,2022,Wichita,KS,9,170,0.050
Mar,2022,Wichita,KS,16,174,0.084
Apr,2022,Wichita,KS,13,185,0.066
May,2022,Wichita,KS,12,226,0.050
Jun,2022,Wichita,KS,19,232,0.076
Jul,2022,Wichita,KS,17,208,0.076
Aug,2022,Wichita,KS,5,226,0.022
Sep,2022,Wichita,KS,17,199,0.079
Oct,2022,Wichita,KS,29,237,0.109
Nov,2022,Wichita,KS,15,240,0.059
Dec,2022,Wichita,KS,17,200,0.078
